,Adipose Fin,Anal Fin,Body,Caudal Fin,Dorsal Fin,Eye,Head,Pectoral Fin,Pelvic Fin,ground_truth,left_image_key
129,"[-0.3095242589362608, 0.7981770608253191, -0.2782143500199385]","[-0.1538088086907535, 0.8104828555419819, -0.2931245851462231]","[-0.15816571755017597, 0.6968878136272465, -0.053746287049982]","[-0.268853512809457, 0.822461855712659, -0.39955809551330884]","[-0.29975034509968196, 0.7755099724421516, -0.058871912854644506]","[-0.11132725396054281, 0.5666492204028707, 0.17719786249636169]","[-0.09421331216476328, 0.5922129162786136, 0.16507236635214217]","[-0.07187562477078503, 0.6553590937743831, 0.06275428100767641]","[-0.05623677318793298, 0.7628373707903222, -0.12793458634373012]",5981,cjn1k7aesvh2c0710l151c1jf
130,"[-0.47910634601963575, 1.1306077008210662, -0.12793992655865946]","[-0.35352676574322167, 1.1712666200459245, -0.17422504987335688]","[-0.24369571663147224, 1.1398991967301517, 0.009700096743835903]","[-0.5290383555473641, 1.0844037468400891, -0.2606167789131315]","[-0.33980673587057425, 1.1903792847917642, 0.06247931509476856]","[-0.05445223111112785, 1.160172155595763, 0.2683751106263821]","[-0.04104473846392859, 1.1445434075310443, 0.23789913175617802]",,"[-0.16058872043145184, 1.169667790755921, -0.06647082688941686]",3949,cjn1h0f2ktsx50710erokkdf3
131,"[-0.23712166678952804, 0.9318437514886464, -0.36788593818778215]","[-0.06428469798746936, 0.5331459159835479, -0.23367955501095744]","[-0.014994221234191219, 0.9380183426874509, -0.22822323919603407]","[-0.2625342432118075, 0.79734924738588, -0.4334549354717652]","[-0.09992583400044987, 0.9616681335974183, -0.19217445387259988]","[0.16572045336065128, 1.0559558842034673, 0.03214425479586336]","[0.16341096700943622, 1.036207409240972, 0.00695078179720509]","[0.22691086859530143, 1.0054203358870448, -0.0713074874180512]","[0.29632495123878055, 4.935935498783073, -1.5976283693880644]",4480,cjn1ibdss91cl0733n1r1ewrh
132,"[0.08848509261125287, 1.1769512548287069, -0.07820506732868038]","[0.19470794264575417, 1.0442336690980085, -0.09080420138608422]","[0.16528617704884177, 0.8631354520396368, 0.10115833208507266]","[0.01974123380963476, 1.1636500133852812, -0.1242840650949503]","[0.08370573257132219, 0.9203899690433041, 0.07626562996922887]","[0.13012369243911248, 0.7030091145931455, 0.27583424400959927]","[0.14383380221701694, 0.7145007138911246, 0.26363579842943147]","[0.22724122261617768, 0.7495717545460308, 0.22645075115812263]","[0.2832867987317706, 0.9382912347392779, 0.03797712742640815]",3164,cjn1ikahaukrk0710hp0dctuq
133,"[0.4227694203619163, 1.139386801877948, -0.37143985396646895]","[0.5527614309818671, 1.1693267737726731, -0.34098633890733304]","[0.3777589345029796, 1.1689991444483385, -0.22956391562082565]","[0.47808711985305524, 0.9842666229184527, -0.4467661766789074]","[0.295828235199996, 1.2674621795013337, -0.23107544447183473]","[0.18658003189272743, 1.3463123993898318, -0.02209267149603303]","[0.21968404788827933, 1.4003089555535597, -0.03263882979245139]","[0.33491839298732934, 1.349645879736848, -0.05958131130282532]","[0.48877180213104404, 1.2442234587419674, -0.20707464173572848]",1957,cjn1gxj5otrj90710d2y7qe6p
134,"[-0.07350170678865653, 1.0440157220960833, -0.2534150253377876]","[0.061841638612578444, 1.0864337778413928, -0.23410392610223138]","[-0.02435083730014859, 0.8808675692512198, -0.04466841648689099]","[-0.029631145284808258, 1.0333619675837968, -0.3648519005829652]","[-0.11469531043565825, 0.9460079938375545, -0.08697789287427295]","[-0.10211693539248302, 0.7607698238456576, 0.1598425609166418]","[-0.083089103298655, 0.7752603459212427, 0.14776536389034015]","[0.002590347058345862, 0.7804355369618242, 0.10829054814096008]","[0.10851161464526496, 0.9950802390033767, -0.09101756336156988]",3164,cjn1j1hbv9f5y0733kunha2y2
135,,"[-0.04300829312179865, 0.9019669511438124, -0.49603904585044567]","[-0.1103227894055249, 0.8577157131632335, -0.31920617219309605]","[-0.1227370295353991, 0.961185671090962, -0.594039043906921]","[-0.24552537104282315, 0.8990275145135488, -0.312475700425322]","[-0.13624005015329757, 0.7261766161947467, -0.10193529474799418]","[-0.10831931537747312, 0.7471215066709017, -0.11443563661096068]","[-0.0597447549583425, 0.748735555600006, -0.23656130334782743]","[0.01107600087050324, 0.9580597790942874, -0.4126919351531091]",5981,cjn1j5jr79h2t0733c3bvgu50
136,"[-0.5246756714007573, 0.9435449938084025, -0.4282418294433065]","[1.1957065376708889, -3.893831266512109, 1.11925659232536]","[-0.40618338464741344, 0.9704221530705637, -0.25263330959627733]","[-0.5302088639824892, 0.9194932635789599, -0.5506951010754833]","[-0.501905240276259, 1.0129861148315682, -0.26548730359329575]","[-0.4349443259491607, 0.976778311095399, 0.018034458493632128]","[-0.4117170098538236, 0.9960563756677787, 0.0037571279787448845]","[-0.34755319569046844, 0.9995444039630775, -0.08977858260977531]","[-0.19147213127446194, 0.4584438379094747, -0.21200448581339548]",2997,cjn1g244mtc8107107tq2pbl8
137,"[-0.3907516763229107, 0.750673699440421, -0.16623593836034378]","[-0.2644983717060079, 0.7524168214870625, -0.1977796013483199]","[-0.22908085239894435, 0.7863047917535232, -0.029839162281268938]","[-0.38009464804256465, 0.7164658125589306, -0.2824136359479574]","[-0.3083595379285366, 0.7976108410512494, 0.0005603178667253174]","[-0.1400961342939223, 0.8170341519157388, 0.2121593772285317]","[-0.12705234821420291, 0.8017892325006214, 0.19227303494514988]","[-0.06353782656306767, 0.78330080172101, 0.13585550560716092]","[-0.13111031646449411, 0.7914299910099891, -0.07356248669191415]",2773,cjn1jtpytv96t0710ja1qo4wc
138,"[-0.3756889150682887, 0.920199066044609, -0.31885682546968047]","[-0.2623791204371604, 0.974084657692005, -0.36462493330019363]","[-0.11641729358440532, 0.8429724220611964, -0.2172657346925631]","[-0.42747569114480993, 0.8721555740904523, -0.40703397612766046]","[-0.21925486566630548, 0.8616474099680332, -0.22371233671503019]","[0.04183557010211084, 0.7427574958282835, -0.04400387211480159]","[0.038850598265568866, 0.7749830461908176, -0.056230350974550536]","[0.10905820662424554, 0.7729124469680833, -0.14812410162404954]","[-0.07776308879989301, 0.9196415986766057, -0.30835254003795054]",4480,cjn1hr43i8rzd07330zi6zm21
139,"[-0.1208015468405825, 0.5683649176400617, 0.033371134792480585]","[0.0010928097197490268, 0.571144892917436, -0.016142050214542472]","[-0.08866196370911157, 0.6060417139989089, -0.11964740619982196]","[-0.055381595760443124, 0.4497225054257198, 0.07494693839569128]","[-0.19869895328067144, 0.7325277853237008, -0.11424688203562994]","[-0.1935259856968652, 0.7544065591282579, -0.3747260540839122]","[-0.17689367139755485, 0.7294504906289105, -0.3468088134774753]","[-0.0795336203614562, 0.7481786349000247, -0.32534224427628966]","[0.027557938440594447, 0.6546850713153411, -0.1422508314011159]",4315,cjn1ji367v2ux07102nzozn12
140,"[-0.06559523721573772, 1.0335118308259412, -0.36059071268791154]","[0.067971466223346, 1.0787140951805831, -0.3792528174942052]","[0.024810573063032998, 1.0941134977429539, -0.1867818510281254]","[-0.06824400960082207, 1.0844583627058582, -0.46595050715364766]","[-0.06981349741952698, 1.0878551534302328, -0.1831754301578467]","[-0.012630248571786625, 1.125573902452792, 0.07675372435843772]","[0.0010638439056066475, 1.1338891470073342, 0.06309161102433172]",,"[0.1425811866746962, 1.1564434321287131, -0.23083229918674172]",3164,cjn1io2ld97rp0733k96bqfoc
141,"[-0.0790561652895193, 0.940326625967331, -0.34484288917186734]","[0.041226747455029945, 0.8944348401402624, -0.3264507007155877]","[-0.004469628953295011, 0.9029391803033661, -0.18876664845323654]","[-0.05007121140888277, 0.805514914418593, -0.4184175346591804]","[-0.07832946327515607, 0.9953422740729656, -0.16740564381429665]","[-0.04085429504739873, 1.0425721212423662, 0.05573731480175287]","[-0.01618962755565831, 1.0285439808987744, 0.04107446555365541]","[0.02526246378034963, 0.9468666941228505, -0.025489251447187316]","[0.08128651923864175, 0.9601704940138555, -0.20051221671529645]",1957,cjn1ggs8ytj4e0710d6p5043j
142,"[0.22822328745898382, 1.089165128267043, -0.23680417757619548]","[0.37816138370474656, 1.0995193025077914, -0.2339527568003061]","[0.3163314275036412, 1.1626012216663504, -0.08017754507188468]","[0.273902156655654, 1.0615541671728317, -0.3614131151309368]","[0.226161736687952, 1.1593614530468488, -0.04293314822538248]","[0.26190822032517946, 1.250699792830136, 0.19360577335869247]","[0.27043242931649825, 1.1899644771485633, 0.16599743733220335]","[0.32812015841326464, 1.1297132260349263, 0.0920617308915678]","[0.41131589881782427, 1.1172255391570225, -0.08897288941863114]",1957,cjn1gnr0atn8a07109p3pvxjd
143,"[-0.26990379814190824, 0.8597086344574334, -0.35503666616810675]","[-0.21371997189495692, 0.9767627614213229, -0.4698279575299883]","[-0.08074430207905921, 1.1097963975682885, -0.346824195950608]","[-0.37773189052324607, 0.8709429103159895, -0.47970928365656257]","[-0.13377235361173026, 1.11946056067274, -0.2815587078483262]","[0.15781460067873979, 1.1657931050891785, -0.13408406683834448]","[0.1936298614550881, 1.264699060963649, -0.15688051125699007]","[0.18140277599640015, 1.1559460346121133, -0.2308230900151408]","[-0.01652169670938637, 1.006598506529397, -0.40142415194273806]",3949,cjn1h2fot8gar0733ojl0kgqf
144,"[-0.4263734817093611, 1.1801451112866392, -0.2844899691141505]","[-0.3011924945314286, 1.198255612385205, -0.2981883516850001]","[-0.2933668565402387, 1.0880255009023512, -0.10545219807696142]","[-0.3680242885272261, 1.115841967883057, -0.385763564416606]","[-0.4527410795153931, 1.260996005974527, -0.11540276700349235]","[-0.31069944869620975, 1.205282027803499, 0.1474753642941969]","[-0.2695358794713302, 1.1280950871305082, 0.11681475104532657]",,"[-0.21672237209311346, 1.185588083156014, -0.16457471201255255]",2121,cjn1h6x4l8ifj0733wcpm6s85
145,"[-0.06402398108870837, 1.2320493452123227, -0.3026523604039379]","[0.062664002760561, 1.2631791120114755, -0.2678006492775057]","[-0.07522237882689664, 1.1524065134273858, -0.08231580554290713]","[0.034440948392531395, 1.1615044702829247, -0.39955560275632485]","[-0.16290286512475927, 1.2667947045137897, -0.12455871134364731]","[-0.21677594952634777, 1.1312879238912021, 0.1651850059598247]","[-0.1893184629791026, 1.1341427023451092, 0.15306997406501505]","[-0.09227319708808843, 1.1235991446634233, 0.10227755942548872]","[0.036635811820734845, 1.28060573908319, -0.09604075803838884]",2997,cjn1gig7o88ez0733zagitt6a
146,,"[-0.291706250843042, 0.9523805377713728, -0.23755944904221993]","[-0.3519302038329594, 1.1276853963073685, -0.19777195280281737]","[-0.3938512129246454, 0.8725499131366586, -0.29426436943794276]",,,,"[-0.2228386831872477, 1.3525260739312497, -0.18714313326143472]","[-0.34142568953187813, 1.479216759458013, -0.23969814385016316]",2121,cjn1hgpzn8o3d0733sqed0ufr
147,"[-0.1676040525513643, 0.866735937901214, -0.32949723301924017]","[-0.003952228297165123, 0.8105485167094938, -0.3375493843636039]","[0.03601253904988231, 0.9573710104561123, -0.20410015063242326]","[-0.19844546693141107, 0.7818449248783095, -0.46245568651377755]","[-0.04966377955279598, 1.0470621087512177, -0.15549353179117653]","[0.22606044841961503, 1.1311651688741293, 0.09124325043996855]","[0.24738359092275178, 1.1239877993203755, 0.0640920545736824]","[0.2380055107729634, 1.0409016491307213, -0.013608631231183131]","[0.12010898100250965, 0.727136147325577, -0.19015107178313204]",5981,cjn1jl10d9px50733m8240csc
148,"[-0.5156342424747178, 1.0991254289272887, -0.3873595050222061]","[-0.38345019581264783, 1.0918260081820172, -0.3962507495985671]","[-0.40721760581543737, 1.123015566369984, -0.235604917125524]","[-0.4847341784388186, 1.061732642797223, -0.4898079655633544]","[-0.49284316107223985, 1.1272715188924987, -0.21875347380445107]","[-0.40543540757451657, 1.108561566510759, 0.02026377227179273]","[-0.3800366576384762, 1.1121126302607052, 0.0018940593843440056]","[-0.34749820182071367, 1.1454282984845003, -0.08493912560530788]","[-0.32656655836706866, 1.1097471633386722, -0.26923228128961874]",1957,cjn1gwlme8e690733t3b5fiur
149,"[-0.011553120018954968, 0.8812924739536325, 0.05726413209963261]","[0.10893707031417157, 0.8620227994286366, 0.024605849112108582]","[0.008776711416130517, 0.954882696142546, -0.1314677499098566]","[0.045075405656829645, 0.7991116039264847, 0.15574070742165058]","[-0.08574513943843678, 0.9599322807356736, -0.11709925583315688]","[-0.10049642186166984, 0.8952181858029921, -0.3797612319921694]","[-0.0878535780322952, 0.9229815771416934, -0.3725125730679669]","[0.015297244658797442, 1.0144868583670146, -0.3448695491864362]","[0.12683408353155198, 0.9569841820217714, -0.12641985371902825]",3164,cjn1iay4rufsx07102y9e09r2
150,,"[-0.29894677786994633, 1.092868535103652, -0.35652963203950044]","[-0.15277513100075513, 1.0989016496687465, -0.20425244834076808]","[-0.5839691819624603, 1.3897962889393993, -0.37264247561178415]","[-0.23717424370508597, 1.0832103705065323, -0.17110079102422704]","[0.03804489988758128, 1.0706096939692917, 0.015026116716733729]","[0.0421718320047802, 1.178209741756808, -0.008510050752691841]","[0.058698866471998325, 1.1054870727013237, -0.10533700932111553]","[-0.10459727834882698, 1.0604795186080103, -0.28918005756311876]",3164,cjn1ickunugvp0710bvxcaqxp
151,"[0.23814821496638444, 1.0683579424286929, -0.26866716267379886]","[0.33929741392425167, 1.0456256964380768, -0.21461375965369073]","[0.1455062791420413, 1.018995567948668, -0.10000277533300564]","[0.36810985442133604, 1.0786755837203539, -0.3260587348607602]","[0.07810015200880459, 1.0328334676151167, -0.14365669844110823]","[-0.06706126887533684, 0.9745027530410398, 0.07412511498318909]","[-0.03333999076239485, 0.9911287771367285, 0.07249596237572999]","[0.07028771127637139, 0.9648504583335823, 0.03675131503569563]","[0.25083236051358015, 1.0110927800463099, -0.09826977602750991]",1957,cjn1g3a13827a07335950hm0d
152,"[-0.16548541871255518, 1.0165512234160303, -0.32037574966468463]","[-0.02184574681892024, 1.0410295314629716, -0.3264642957921403]","[-0.05431537479004131, 0.9798015129472052, -0.13288405957667312]","[-0.12143222616759047, 0.9432581548301778, -0.4309294301930159]","[-0.17351705592876476, 1.1492903786050235, -0.12773841882541415]","[-0.05423931556983682, 1.175888026626394, 0.1588910879459056]","[-0.03674622746802711, 1.0867215487785191, 0.12618713838187393]","[0.05632339072011271, 1.1244508402905529, 0.06599955302641276]","[0.0656311283758181, 1.112716985267297, -0.17629282439572913]",3949,cjn1gwm8ntr430710o3ftcywc
153,"[-0.2063593567836599, 0.8991487693796381, -0.28060137485169584]","[-0.0736644389465502, 0.896441903502765, -0.2911620865125363]","[-0.08410683604941901, 0.8917791180457455, -0.10844388502540117]","[-0.17459203081351046, 0.8612242798008448, -0.38906921829492236]","[-0.17511259942041318, 0.9347649043553788, -0.09380411456781111]","[-0.07660975292672116, 0.97520088834499, 0.15962496185078204]","[-0.06477917368425469, 0.9558635750937948, 0.13967272068689812]","[-0.005845319913389732, 0.9644422519707266, 0.08475437949384731]","[0.04206253924758358, 0.9410646091000215, -0.13476800615533227]",3164,cjn1i4vhouclp0710jig6gxed
154,"[0.08396301027815373, 0.8360013779008695, -0.1299118767472546]","[0.1994090691349292, 0.7985489796421058, -0.11972513281550817]","[0.23456105654819467, 0.9216920997065984, -0.23175818736945517]","[0.058276269280061514, 0.7404860690038482, -0.08039809262978755]","[0.13900060057195346, 0.9438243648462061, -0.23349338495435118]","[0.29986394569608277, 0.9864693872867623, -0.4105918238601887]","[0.3256076953925485, 1.059402666071858, -0.42209820595844016]","[0.39471692180478785, 0.9427933690117454, -0.35543681483790474]","[0.2830862031547438, 0.8073365358882802, -0.18019913977766563]",2121,cjn1hu0zzu6x40710a2bsy51h
155,,"[0.12499330117954782, 1.0071651463007163, -0.20482126248460564]","[-0.0689648771610514, 0.9703169798621339, -0.3191223070043407]","[0.14827035834303393, 0.9648537308101011, -0.11368974291070463]","[-0.13126138655883304, 1.073607493778249, -0.2920322796368273]","[-0.2692404140871961, 0.856910122957145, -0.4512623401273086]","[-0.23990960411366677, 0.8548060209127358, -0.4466567975975922]","[-0.12624914923957417, 0.8731718238314217, -0.44143568691028623]","[0.04994480716992439, 1.0246777383940742, -0.3350622582373616]",1957,cjn1h3p21tu5m0710y5zsitg8
156,"[0.048244140263269036, 1.0862174584796407, 0.08507339070723004]","[0.17576458635610015, 1.0807188931279341, 0.07301009800232669]","[0.08319531496451088, 0.9675555649511678, -0.08968003180529004]","[0.09573025820040998, 1.0064499925853465, 0.19179980677418015]","[0.0023143431309501044, 1.0408540659477719, -0.08044667000964219]","[0.00824933560966904, 0.8952123175127064, -0.296480076332753]","[0.022088055994389948, 0.9008770697110318, -0.2853605347563503]","[0.10844490014314058, 0.8822622664925508, -0.23137741659244512]","[0.2109392274319893, 1.0484563946666718, -0.07759039408088743]",3164,cjn1i3clnubry0710vgak9umm
157,"[0.35835423344945305, 1.2643438895119192, -0.22056017888428253]","[0.47646419007466473, 1.2110000150609044, -0.2268523152779642]","[0.4453406971044909, 1.2369269800931053, -0.05080764845332021]","[0.4107236605994172, 1.2562614722828171, -0.3478870213777532]","[0.35557803425799994, 1.2288211175732675, -0.03681666149464057]","[0.37169832289256244, 1.1256510987977206, 0.18350047398374092]","[0.39576346852468325, 1.1225841121245919, 0.16703557119214513]","[0.44825818920496263, 1.0932662074214252, 0.09426171800613758]","[0.5107296283645639, 1.148667825734519, -0.09158611058534996]",1957,cjn1gkizn89gz0733618767k7
158,"[-0.22132610462304864, 0.9125760530668929, -0.3674200362690396]","[-0.1463772679589097, 0.8891070910936014, -0.41841661481102516]","[-0.040245323465149876, 0.8846295378998309, -0.29191712165907413]","[-0.26402206207886525, 0.8693868826662767, -0.4543731207300633]","[-0.10599868439521126, 0.8993745465458299, -0.25284832342109387]",,"[0.12654747252945533, 0.8844541284224249, -0.14561294414235226]","[0.1087086285312154, 0.8323423056000008, -0.21504674769600834]","[-0.024580540226918877, 0.8858902004379451, -0.3688517204754314]",2121,cjn1i6lk3udeb071056gygjz7
159,"[-0.07873975546924813, 1.0337919492957224, -0.4207897369001743]","[0.04360729384947412, 1.0454829633601193, -0.43881927650389785]","[0.04295594199958583, 1.0932279929300404, -0.2661063948753019]","[-0.0617865544283195, 0.9034227237222535, -0.5091948402199369]","[-0.03359049093107663, 1.1562296922034778, -0.252064036660578]","[0.07693604895746863, 1.1481439631539034, 0.008807038026027286]","[0.08763973885726122, 1.1296339182477324, -0.014579597965260878]","[0.15665058923736808, 1.1819966504572175, -0.07667116878238303]","[0.1488795421966739, 1.064184578839274, -0.29311684962100953]",2559,cjn1jxsurvbgi071046kcu807
160,"[-0.06094343823378545, 0.7677505311610898, 0.06453917244487792]","[0.06481697045885121, 0.7345272190999681, 0.008397738939078397]","[-0.040053485696639066, 0.7659659112456622, -0.14870788856540615]","[0.004507104970243963, 0.6362702659968786, 0.1380608677647274]","[-0.14698887780573305, 0.8656887935525693, -0.13658330772650426]","[-0.1280639292405685, 0.7166262538304775, -0.4002287411630549]","[-0.11961098350392743, 0.7458819512864906, -0.39774186159036506]","[-0.009240994335855828, 0.7535508176040402, -0.3540681947780028]","[0.0857418187347214, 0.8162591203725273, -0.1404259611214691]",4315,cjn1kakihvj1907100qlyebba
161,,"[0.19018712582646874, 1.216512466889132, -0.14056896389235168]","[0.21502184675712885, 0.9255141406668433, -0.22620910476940922]","[0.03250852662813329, 1.3983190394858802, -0.18272274142248546]","[0.10997730613237656, 0.5777367506005482, -0.19218710222021315]","[0.2776051124692668, 0.73931369249305, -0.2765470267569481]","[0.27063598484421686, 0.7076678751114299, -0.28525455178811016]","[0.349811839795513, 0.8289400009918243, -0.24379140423263992]","[0.30970544805822015, 1.0860615555744098, -0.19203812835119966]",4315,cjn1jv1j8v9vr071009sn3nlf
162,,"[-0.1637605576047758, 1.3449673725939928, 0.04724586006414993]","[-0.2603611574652823, 1.2282159654916047, -0.12824976004476776]","[-0.1855382290274687, 1.2910262096075242, 0.1718856677586572]","[-0.36856830899868726, 1.29651013136049, -0.10994239615461474]","[-0.35856512926600703, 1.120186021345884, -0.33605347217001735]","[-0.351247202714299, 1.1527060561215134, -0.33414602396064386]","[-0.2647077680322111, 1.152220143670347, -0.2701275235605793]","[-0.16327433372638636, 1.4014724815267068, -0.11264118480952424]",3164,cjn1icwovuh4h0710z4i0rksj
163,"[-0.5705377736138083, 1.0308213187404365, 0.07469862375926813]","[-0.48841177644825756, 1.0889853129251084, 0.010924146032058851]","[-0.3044965645929554, 0.9845073215162556, 0.14632917264900666]","[-0.6083390566661396, 1.007333947673326, -0.04433064576484922]","[-0.3734466942093536, 1.0260141503824047, 0.20544445607340703]","[-0.08601830984997862, 0.9879635503737739, 0.34071640820748705]","[-0.08727969895523531, 0.938983746206634, 0.2999667582544568]","[-0.06691805140804157, 0.9667888991554926, 0.24774302626472933]","[-0.282833314930347, 1.086929830374569, 0.08016311786880005]",2773,cjn1jdlp8uzvb0710pcojk1px
164,"[0.209168803079135, 1.1598850494087847, -0.4264076661246108]","[0.34725949684014384, 1.1714446545881378, -0.4269123069465293]","[0.25872956388019364, 1.146270139966492, -0.22905643621416924]","[0.27286885630897023, 1.0722451413446976, -0.550202076241641]","[0.1778734384120529, 1.1715240917476952, -0.24426385557779967]","[0.183958054973043, 1.138140841827245, 0.05788678699528155]","[0.20429282330540413, 1.12800940139586, 0.03979846153269583]","[0.30773821118299916, 1.1204605838985993, -0.02756799900724491]","[0.4012571049275391, 1.2070659457456003, -0.257354433025008]",2997,cjn1f5bm1t0vf0710q6nu66as
165,"[0.28920028062128184, 0.8512479941717063, 0.199721577288236]","[0.41625347124591916, 0.8219937109945503, 0.1806999622752606]","[0.31618907598497337, 0.8320454599364753, 0.014911959137650824]","[0.31898493891640506, 0.6703353334439724, 0.25333182542741267]","[0.2634326902041041, 1.0196456494628825, 0.02604948330379705]","[0.2840215215243809, 0.9710718534286138, -0.26832442309228505]","[0.2643445547149528, 0.8897600471683961, -0.2482064507827769]","[0.4064581464586719, 0.9673768604992701, -0.199299198897688]","[0.47341493586913835, 0.8966884167376367, 0.029554283727098257]",4480,cjn1ij6e3uk9z07101f43qs14
166,"[-0.3255527898735736, 0.9230282624393147, 0.25417384079302274]","[-0.1812680643292533, 0.9913960539591642, 0.2352750425044327]","[-0.23599043369355432, 0.8788700396974654, 0.03248617946458935]","[-0.2894908951001743, 0.9975899966649052, 0.3361266310749949]","[-0.35116621550020377, 0.8593510654472374, 0.06588853741822363]","[-0.22817475168144455, 0.7785145811432592, -0.21146493419454132]","[-0.22053146987193625, 0.7946206245040925, -0.202297837506099]","[-0.14032772669666294, 0.8260095185756261, -0.11003741685950047]","[-0.11818633789313368, 0.996659996797826, 0.1158874302658873]",5981,cjn1k2tpfvela0710nlxn7d41
167,"[-0.050983034810118094, 1.032282485515401, -0.4145231315904257]","[0.0825676501808761, 0.9550058175823085, -0.39832528172795156]","[0.057804727239796114, 0.9499678837924941, -0.23003884550610376]","[-0.024609825993377254, 0.8071344005628376, -0.4649312102548482]","[-0.030586950320972472, 1.0207563417227565, -0.21212090656180535]","[0.09556411640324712, 1.069777951901173, 0.029015534391601885]","[0.10893889078388684, 1.0902969948782195, 0.01284894353170627]","[0.1840893833450493, 1.0203157760327748, -0.056491587086342984]","[0.17329824419806683, 1.0191026980226907, -0.2710228381650209]",3949,cjn1h2nn2ttq607101ey074ay
168,"[-0.4474756373288614, 0.803777651435785, -0.2617960233696294]","[-0.33681577185560374, 0.8475434739172965, -0.2537462250662867]","[-0.41389033912482276, 0.8983709756869764, -0.14865888737455776]","[-0.33391161081116666, 0.7010656357453766, -0.3316099739145175]","[-0.525871695185138, 0.9104365960286214, -0.13864746159041988]",,"[-0.4184349654735973, 1.0425488980332975, 0.03763313141739958]",,"[-0.3370497407319574, 0.9695589846072548, -0.1516129473077286]",2121,cjn1he8938mmd0733fnwf30vc
169,"[-0.30943545941527734, 0.8433565275160788, -0.06046104893879888]","[-0.24908943913493106, 0.8848920861853483, -0.00353931563113521]","[-0.13049916586982296, 0.9330725778860184, -0.13186845656040172]","[-0.407935575728124, 0.8404570499789661, -0.007582251199977969]","[-0.20184840681306082, 0.9807140895072296, -0.16861671096772027]","[0.03246123896819788, 1.0270469792843848, -0.3470108075122117]","[0.03355058961219376, 0.9793664678034937, -0.3128384719773993]","[0.07195963803249904, 0.9911234889941986, -0.26618941839834176]","[-0.07339883779553005, 0.9315407319437607, -0.09540284654353344]",2997,cjn1go3retnem07102ozxnw99
170,"[0.031071920059742884, 1.2240882713620864, 0.0853890015352735]","[0.10967007962286848, 1.2316028658601998, 0.013915464479017628]","[-0.08471569057503857, 1.2536124043004635, -0.08143767453138512]","[0.1844046759972193, 1.1727331213366343, 0.11799634055208333]","[-0.16263212365612173, 1.2509016237757937, -0.03569917169439573]","[-0.29118273405856854, 1.229994395582903, -0.2855626980921284]","[-0.2739572935766722, 1.2504989992004933, -0.2775080590549306]","[-0.16622764616064392, 1.255382743638934, -0.24032289292490297]","[0.014325642835541663, 1.251714346224531, -0.10653580229014747]",2773,cjn1ijc1d95l40733iv9gzhve
171,"[-0.4923715736327581, 1.1591658848344695, -0.08266100006607559]","[-0.37769210546071524, 1.1612384894607193, -0.04797805619191572]","[-0.5094371334466951, 1.222277051027716, 0.038455537039531335]","[-0.37410930339711645, 1.1271446194721038, -0.15864355306477185]","[-0.6164933066404562, 1.2331703462651993, 0.01677830167973543]",,"[-0.6242603383406657, 1.362334066503468, 0.2025759052300292]",,"[-0.3815147609922328, 1.1548597658500905, 0.051674423823396355]",2121,cjn1h7vi3twei07104zt1bue2
172,,"[-0.09357725674835882, 1.2493146621678617, -0.11926362232437221]","[-0.15809898926175853, 1.0722375373660795, -0.20711180724178288]","[-0.1834943232821936, 1.334090880815632, -0.08156129031838885]","[-0.23391729357862528, 1.0992577911413999, -0.20438577562516513]","[-0.25640970112503936, 0.9241817013521518, -0.2878262689121316]","[-0.232316381810907, 0.9429462056558181, -0.2970994511955607]","[-0.14663141964330537, 0.970701380837622, -0.24374245300385625]","[-0.07716512411533029, 1.1431177207418095, -0.18354979653646733]",1957,cjn1h637ftvgv0710fmlet2v8
173,"[-0.2709526600104001, 0.7094707488686819, -0.19868414548302352]","[-0.13462975691921325, 0.6998994658105167, -0.20242601351847522]","[-0.13922359247585453, 0.7243084417977982, -0.04695539717276276]","[-0.2578007991948014, 0.5711270557440709, -0.29416799503123114]","[-0.22302028074530303, 0.7972054883129367, -0.037466373788677315]","[-0.13436015594455294, 0.7811604426170666, 0.220495924519771]","[-0.11174133245874349, 0.7623382148780661, 0.19841503861903018]","[-0.054811174700175685, 0.7906680489748277, 0.13982993808836017]","[-0.024851024873344802, 0.7730229733509051, -0.058491154584195744]",2997,cjn1gotny8bgq07339wwoze4m
174,"[0.03509584360843863, 1.0046046709495489, -0.45745819633713136]","[0.16165003088842386, 0.988131861615405, -0.464665420472149]","[0.12049650575107317, 0.9036169144485199, -0.2976626536510783]","[0.04739147837620743, 0.8788904215239903, -0.5148631038535193]","[0.07236355643300615, 1.074333342993414, -0.3113763656083459]","[0.134479311650087, 1.0406949051956196, -0.07888985349305806]","[0.15357810368839667, 1.0448133153288806, -0.09534206831581393]","[0.2323011868655712, 1.093063716337816, -0.17910926709219185]","[0.23239739311478574, 1.0237666904112823, -0.3605640348424641]",1957,cjn1gz3hmts8j07108bel2lvl
