,Adipose Fin,Anal Fin,Caudal Fin,Dorsal Fin,Head,Pectoral Fin,Pelvic Fin,ground_truth,left_image_key
1228,,"[-0.1624379808275908, -0.561253174876249, 0.03956731189608893]","[-0.09968362311598776, -0.6113431658489071, 0.21616482694552702]",,"[-0.04652064858428071, -0.6922982556259969, -0.41773158617662026]","[-0.11019900878973536, -0.5577280755235432, -0.31026261445096515]",,3315,15093
1229,,,,,"[-0.23110181754516934, -0.6098904956737957, -0.19653480453965494]","[-0.3636807559814659, -0.601882925826628, -0.12612712407037893]",,3760,12231
1230,,,"[0.31392374318049443, -0.5533661569308999, -0.311608377512083]",,,,,5395,6820
1231,"[-0.09285787287210509, -0.8404300426434523, 0.12585963136725128]",,"[-0.1553218528397353, -0.8570351114150028, 0.2945818274627034]",,"[-0.19931813865483727, -0.7584432078721275, -0.44530197186114606]","[-0.2652482446301673, -0.6617981887882688, -0.32280566159340923]",,6020,8363
1232,,"[0.2757086339435637, -0.6018367235415941, 0.09530556273937536]","[0.34245559919350793, -0.5389599404394406, 0.18088717348017477]","[0.37250862246576333, -0.65599922001543, -0.0695690042782998]","[0.29070073639724553, -0.7924740476621912, -0.24307524758369345]",,"[0.19916773546798178, -0.6910357596236312, -0.007683304203410983]",2997,4133
1233,,,"[0.3787605875267274, -0.6142269769019556, -0.20485160456568835]","[0.37791228994094594, -0.6592545921121961, -0.04277816978200925]","[0.16713872161562576, -0.6868129024448778, 0.13686997848160012]","[0.15869036451668295, -0.6588466639332803, 0.04573269126279291]",,2748,4656
1234,,,"[1.4044690504207682, 3.6074421730051527, -2.0876747193075893]",,"[0.05810657620128087, -0.6298906473124695, -0.24216103740648637]",,,3710,14389
1235,"[-0.01969189523956391, -0.5898307764933522, -0.2902844818518401]","[-0.15544940818669375, -0.5710698824815282, -0.2798575650884099]","[-0.11260994080895621, -0.9099099080804015, -0.5742483507500566]","[0.021255770633863368, -0.6380055018583661, -0.12055525041610958]","[-0.018601968970995968, -0.6719286885087157, 0.15709999973447336]","[-0.11889043806911728, -0.6323739282231317, 0.07331380962460375]",,3263,13004
1236,,"[0.18894665643393338, -0.6456957312150349, -0.03211965186880238]","[0.3200933757353645, -0.6880195143920697, 0.0803278570546175]",,"[0.17779115586299013, -0.9071360026454626, -0.5486183818264676]","[0.06435827580320515, -0.5786816266365193, -0.3214196378971355]","[0.10347170228887971, -0.6611436704569296, -0.14852916433504457]",3514,10220
1237,,,"[0.01685833028749148, -0.14806776109601053, -0.04717421149529854]",,,,,4315,800
1238,"[0.2821760606412024, -0.602427297635005, -0.2120681410343705]","[0.14286585836038945, -0.5762000171659188, -0.23209965805034713]","[0.3067969853260848, -0.5720124320618891, -0.33122236971427543]","[0.1941330980680828, -0.6443228678245952, -0.0032050874753877436]","[-0.02780288387917479, -0.7178618862578882, 0.2765958115297307]","[-0.06803021408366858, -0.6199721951176826, 0.13006864344739716]",,3771,12670
1239,,,,,"[-0.18835142203038793, -0.5854874294255729, -0.011939595980417175]",,"[-0.2072393989808334, -0.6997595342342366, -0.30604517177758256]",6771,7252
1240,,,"[-0.3168678742607031, 0.9131869794573879, -0.5783924859129665]",,"[-0.08245091413627312, -0.5854767352205364, -0.07952576557197687]","[-0.15498579068612667, -0.6900354941532583, 0.02930540401894265]","[0.15307238799719855, -3.9137080717394017, 2.3348675332111437]",3771,12706
1241,,,,,"[-0.06814232999272006, -0.6617713893452232, -0.2136418103101938]","[-0.11994461479467802, -0.5968721406072044, -0.30098985816401297]",,4665,11058
1242,,,,"[-0.0036439561164076932, -0.7050482439038616, 0.17121674136011403]","[-0.09075977738776773, -0.627308387440976, -0.09228225635154966]","[-0.18556069490468796, -0.667539803893176, -0.011270618614501663]",,4606,9489
1243,,,,,"[-0.12109804600350631, -0.6917324507960442, -0.15622413222283743]","[-0.18080998884971008, -0.5605768507371048, -0.15677431646920795]",,5711,8001
1244,"[0.11528677466052414, -0.5992149486951158, 0.09582364191467367]","[-0.020413014021597252, -0.6068579978395229, 0.13688952335005375]","[0.19747716509202082, -0.6811201903195657, 0.26342058093102155]",,"[-0.2528225635850765, -0.5618108254108883, -0.31709734335913253]","[-0.3035525962439719, -0.5386537590328053, -0.2081262442198384]","[-0.18792689252448633, -0.5773067881064451, 0.0007169180710622472]",3771,12791
1245,,,"[0.5068695365199062, -1.0420861968376103, 0.39459004772066536]",,,,,3949,3379
1246,"[0.3344124386334894, -0.712174504493482, -0.21490269692855313]","[0.20559136504592557, -0.7312039414810533, -0.2525383115366983]","[0.35401225197138136, -0.6360256893631927, -0.32759447765143385]","[0.21069647045254816, -0.7850418188420188, -0.0034302494898667928]","[-0.027726780172315266, -0.8052758268189057, 0.2199369114555375]","[-0.11305775358505026, -0.7970731958890721, 0.11386401899699414]","[0.03637592996058787, -0.7878123517991565, -0.1191815916439416]",4124,8652
1247,,"[0.35774864003442747, 1.5765251854580007, -0.8340509993146888]",,"[-0.07019447018073059, -0.7893291723091723, 0.13520871504647472]","[-0.1882462173469386, -0.6956826363111934, -0.15479308019228533]","[-0.2926826924930073, -0.7294435182183374, -0.0637213986242069]",,4606,9484
1248,,,"[0.10128958559005559, -0.8908431450411164, 0.3675625752245125]",,,,"[0.3388520603119815, -0.8403422589358688, 0.26770772578354746]",4315,687
1249,,"[-0.05140614487930892, -0.48773033633586776, -0.11772319042220265]","[0.04235197943078508, -0.49248460276052775, -0.21111792830975415]","[0.021605903838765803, -0.4977400334947806, 0.03982114940483168]",,,,1673,15448
1250,"[-0.12588682448444147, -0.8108858204490677, -0.05235275391239135]","[-0.23973336441237508, -0.7733349088501461, -0.013104215082678883]","[-0.24176317609544057, -0.790726083747963, -0.15623630349841025]","[0.01041026252229176, -0.7734095179210582, 0.1122568650962845]","[0.0805283863711917, -0.9734516710501221, 0.4739021854084239]","[-0.048979632035101965, -0.6597608004567381, 0.26109750645438523]","[-0.19583923268388273, -0.7418140200685734, 0.13266881421037194]",3164,1867
1251,"[-0.08568934848540381, -0.665053723669537, -0.20690937086253225]","[-0.22225065657475807, -0.6440256631913552, -0.19789229758562524]","[-0.15533243669035068, -0.6801903243138594, -0.35295080100105686]",,"[-0.32973883939832466, -1.9224572918794454, 1.0165404666598419]","[-0.2078573856490357, -0.6461582277494345, 0.23764660096991233]",,5240,16220
1252,"[0.3449205820648792, -0.9366686750959397, 0.226554810549017]","[0.9009248505912891, -3.454574555827957, 1.2643468284422075]","[0.35249057507005427, -1.019563137066912, 0.44164726738418864]",,"[0.05212007807419182, -0.7113597791633226, -0.323125524124041]","[-0.03675527736477479, -0.7462530523075579, -0.2426324018464282]","[-0.006415793558068371, -0.8163170852889038, 0.018873500647397772]",6585,10754
1253,,"[0.1714242543484491, -0.8740303295324661, 0.32967112057509584]","[0.4962329437543801, -1.2982993920402288, 0.6764419377293808]","[0.22566533899707367, -0.8364278787612269, 0.038356654104291205]","[-0.013650009310915296, -0.6524156818202813, -0.18723622849679603]",,,5711,7863
1254,"[-0.1918954264946341, -0.5577492456689963, -0.3203556989259995]",,"[10.097944577777826, 16.61655374659621, 9.377942072368835]",,"[-0.22142750330485766, -0.7571737110145275, 0.31543888326534014]","[-0.27512685220383437, -0.5420483278044698, 0.12370659549559505]",,5240,16187
1255,"[0.2007392814765933, -0.626655578202586, -0.27054306601219485]","[0.07620634363454645, -0.6107615697967557, -0.24087726590027694]","[0.1283106551793855, -0.5830789986715629, -0.34200721721237143]","[0.19741607734861713, -0.7398158095810551, -0.1561588197456709]","[0.10963747991653615, -0.8878898067665906, 0.034969562569818445]","[0.032824450447476804, -0.8495753369088572, -0.022508874481865556]","[-0.0061065226971130735, -0.760085923238196, -0.17064145352678714]",2773,1451
1256,"[0.3500422651108719, -0.5919381976295971, 0.15683108016437264]",,"[0.27584122002638783, -0.4921712208703973, 0.051892143405597155]",,,"[0.08822091358538228, -0.8786420630947106, 0.10617882182002926]",,2559,2723
1257,,"[-0.04500911842814023, -0.7704527401459005, -0.25969726100035867]","[0.09436120487135263, -0.7711273760147661, -0.3874579898623742]",,"[-0.05166678988511601, -0.7570570541261995, 0.29251789957769647]","[-0.19460801346924295, -0.6738319550260172, 0.1725811671138207]","[-0.16570328241300947, -0.7203518905022858, -0.10491814893759145]",6771,7141
1258,"[-0.06952579725957354, -0.6482231171779228, 0.15921833541670616]","[-0.20493408188872786, -0.6013147263652263, 0.11434544751294631]","[-0.22801316746912947, -0.8219290239902678, 0.371414444844754]",,"[-0.05426182950967336, -0.5578893224866676, -0.30960097328744557]","[-0.10406064696792862, -0.47473931946115594, -0.22942275369071172]","[-0.2230597101013319, -0.5876450574161993, -0.03572092622314227]",3610,13582
1259,,"[-0.21542612651057272, -0.4214241338818902, -0.05485067583806247]","[-0.1096282681915204, -0.34725482600703517, -0.17037748424101265]","[0.17852687581634932, 2.8699704607628016, -0.6507249834332185]",,"[-0.2717885260730129, -0.6559093241114164, 0.24629110252410857]","[-0.29091106900942104, -0.5191692049624892, 0.0885977580606733]",5981,1210
1260,,,"[0.4554684629897724, -0.7224227559541903, -0.027491278205103817]",,"[0.17103820806716116, -0.8940429737357164, -0.405997847638442]","[0.14197021167875018, -0.7779502684441927, -0.3423223077690952]","[0.2941095535179381, -0.7141948603907573, -0.12940409335569086]",4480,2354
1261,"[0.10617445633575148, -0.5659161436213261, -0.21975359107243003]","[-0.018016772526698685, -0.5987981667615747, -0.20557035798980433]","[0.03983205209267352, -0.5805203813713294, -0.33473348068155284]",,"[0.07746330991343427, -0.6834477470647364, 0.25577899568158996]","[-0.015436491802601326, -0.652691023097753, 0.1672682678002073]","[-0.06477777380731814, -0.6204877429724266, -0.06126329417522337]",3610,13431
1262,"[0.11535049839271973, -0.5864647092073679, -0.07554393841412486]","[-0.010960437054629029, -0.5698054601604687, -0.051574109745887206]","[0.13018279347574546, -0.5057263401972097, 0.02296539322310399]",,,"[-0.17125887462918063, -0.7607078206133201, -0.269949448826437]","[-0.1273720357973702, -0.5784800767527976, -0.13499986388152518]",3164,1888
1263,,"[0.09548350452429842, -0.6617156406825616, 0.2009526561702276]","[0.3557210989107672, -0.9807448663524488, 0.4829829631115073]","[0.13140625478436715, -0.6114946559917779, -0.0186011969492983]","[0.08327150653487576, -0.6192671301203653, -0.22688421176264464]","[-0.03172922270757957, -0.6171706462526666, -0.18296013898290317]",,3148,9079
1264,"[0.14503554124193707, -0.8317052297266833, -0.029478692408822886]","[-0.027764737242517767, -0.8409130246780343, -0.03798199077290222]","[0.09995345751033843, -0.8357789936018714, -0.19796783771827062]","[0.11083428449715906, -0.8120445881847549, 0.1998104477810577]",,,"[-0.1415045601220021, -0.845398203918763, 0.19077287780919105]",5395,6674
1265,,,,,"[0.057201410157879676, -0.666009116991787, -0.4189595989772284]",,,4860,5039
1266,,,,"[0.10241568956550043, -0.8691807691123186, 0.2311105629131104]","[-0.043271166391961394, -0.8108910822992141, -0.01280567064647687]","[-0.09276307555022932, -0.79395907259151, 0.058213050653962116]","[-0.08475243519038642, -0.8305922671380268, 0.2880362440273661]",2559,2631
1267,"[0.006815332607773544, -0.5255291374536551, 0.12651553103409532]","[-0.10599929034981394, -0.5265328885214687, 0.14281370902165028]","[-0.009274474590011699, -0.8872961714479494, 0.42455115345008665]","[-0.018471871048317042, -0.532042993386963, -0.016039190829858167]","[-0.08576410895072556, -0.485635464323011, -0.21050477530978812]","[-0.1694466036536943, -0.5118206328443883, -0.16115284668718863]",,1673,15564
1268,,,"[0.3358642909411821, -0.7458687099087197, 0.1367954523571331]",,"[-0.10674634722336979, -0.7184063797641355, -0.405825815590348]","[-0.1479433748833868, -0.6849494269404381, -0.2984087254859349]","[-0.027017656896665635, -0.7322558672515584, -0.06724008433651707]",5711,7923
1269,"[0.1428041836610116, -0.8274538194515084, 0.35703911124214066]","[-0.023119141942939455, -0.7634959595368465, 0.3296224189013838]",,,"[-0.010254584839476855, -0.781200343442312, -0.1693843752621288]","[-0.08339368508305038, -0.7649013006498283, -0.114291131173311]",,4124,8775
1270,,"[0.0022187701546454493, -0.6567883038426838, 0.08011416646542044]","[0.06842626008507742, -0.7226752711052976, 0.2277861328637649]","[0.1789142787740388, -0.6289999216228099, -0.08804644820749728]",,,,2697,11923
1271,,"[0.1048763674603815, -0.5693322512972095, 0.03635596034420616]","[0.2223342775825207, -0.6000794179752835, 0.1675163007288734]","[0.17111605246427733, -0.5574630767230976, -0.18029000800398684]",,"[-0.06235472801837165, -0.5082080612994647, -0.3057787311296131]",,3315,15091
1272,,,,"[0.1083208398066755, -0.9594447569458843, 0.4179400103767273]","[-0.18079018578966755, -0.9570624801051654, 0.3191846117458522]",,,2121,2952
1273,"[0.08430879641291526, -0.6812428253154155, -0.22773849366395107]","[-0.055381213953768736, -0.6708339911040755, -0.24879509686368678]","[0.0867268530737244, -0.6400647551251651, -0.3454683358935862]","[0.012551052431824878, -0.7132180046782023, -0.01751054972129674]","[-0.06143107436620654, -0.7726003148608103, 0.2572737713015869]","[-0.16825259274031748, -0.7411544895602078, 0.18671158786068326]","[-0.18103308749379218, -0.7046441240725794, -0.09828464752458209]",3746,11449
1274,,"[0.1421492968908671, 1.8842754053116524, -0.790111405671188]",,,"[-0.11581840987716571, -0.6474887896669166, -0.1792501502866329]","[-0.18910621883081793, -0.6705866856926589, -0.10941066819417233]","[-0.07425045835853808, -0.30146093255103723, 0.04689299490182554]",6585,10733
1275,"[0.0721709440330524, -0.6396480128651473, -0.23314784417259027]","[-0.08060740109775703, -0.6346711241900661, -0.2027941471656353]","[-0.02927516583935806, -0.6746516052131877, -0.3390515941599749]",,,,,5002,13906
1276,"[0.06467895089011858, -0.7264110077853538, 0.22607521925107882]","[-0.08289351087481132, -0.6912476314848551, 0.19266296098039945]","[-0.01696368002463445, -1.3636443914603584, 0.7139506233671036]","[0.08166687585010614, -0.7038396582441483, -0.029022504609249954]","[-0.004447271833632307, -0.6697914632155877, -0.25248238235558146]","[-0.07891732669811906, -0.6864374854177678, -0.20368311452959878]",,4124,8828
1277,"[-0.05343036127631343, -0.5611289130237883, 0.18062690514834875]","[-0.17418342765853728, -0.5582158588259727, 0.19187589093976185]",,,"[-0.12009069044061067, -0.5207221829870968, -0.18069723503335058]","[-0.19872707002280707, -0.5291670240448008, -0.12823781149330443]","[-0.23608785980401284, -0.546386501198439, 0.06277408791977417]",1673,15557
1278,"[-0.11985600601349124, -0.849184644443839, 0.06886811249247293]","[-0.2454051809727505, -0.8076620750262588, 0.09358517509349198]","[-0.23690467105616905, -0.8404348119382257, -0.048259219324787175]","[0.008075380101299772, -0.7894233334359683, 0.22635783950991745]",,,"[-0.215834272915723, -0.7467814879549913, 0.2480142141934739]",3164,1868
1279,,,"[0.9404634602676231, -1.6832966632474367, 0.8983626334603914]",,,,,1957,3733
1280,,"[0.9907883606684974, 6.0705576632553635, 0.1578467997418647]","[0.01884633450029538, -0.5903768956170399, 0.13119994609397745]","[0.034577853727085064, -0.5926653312399773, -0.1972980381443641]",,,,3315,15092
1281,,"[-0.20480760811090512, -0.7369653126108217, 0.18990351817009002]","[-0.10721329957688795, -0.7841902587407411, 0.34178767161437645]",,"[-0.19638739846294742, -0.6506495421226687, -0.24390999630406868]","[-0.2545203087068128, -0.6353732537029086, -0.1613563699138231]",,3514,10361
1282,"[-0.019688925060036555, -0.7250778900875147, 0.12427143904793293]","[-0.15579895637976593, -0.7103002252485625, 0.16172634491758578]","[-0.00016621430316515949, -0.7286967499896378, 0.28223610008752104]","[-0.15164084337807077, -0.744910606601897, -0.04642534881740616]","[-0.3718421386649444, -0.764961300888897, -0.2743464301317444]","[-0.396527209345701, -0.7322428347651447, -0.18333354170689217]","[-0.3228393887920992, -0.7308941700696706, 0.03741546246316133]",2997,4094
1283,"[-0.09709004849148639, -0.49942680765526765, -0.29527829830435465]",,"[-0.606846919894729, -1.5146148512718445, -0.7967618952169392]",,"[0.06928275950476302, -0.5700101133140913, 0.13056294795188292]","[-0.016866047727336984, -0.5193031188717966, 0.06080945700589878]","[-0.1409801610827748, -0.47719522942137665, -0.09647689825313734]",2785,4361
1284,"[0.33577128635715486, -0.5846117543746258, 0.10476199487180123]","[0.1892030373309671, -0.5763705273317979, 0.14828712427921728]","[0.5368977262683602, -0.9112002968796521, 0.4138031584848338]","[0.16202261258708525, -0.6023115377706354, -0.10016774379869488]","[-0.13011378244846242, -0.6227131034170881, -0.2739349976788541]","[-0.15477567067407338, -0.5991115864471616, -0.21490065847959638]","[-0.010038200911521902, -0.5816435451428763, 0.027377237455376718]",4315,740
1285,"[0.316074612087819, -1.1753077660580964, -0.19004711913513692]","[0.18070104904779274, -1.1562978308678549, -0.19119764972398004]","[0.2653070362162725, -1.1608249787068412, -0.30147075075114066]","[0.3360696724674789, -1.1758729289752818, -0.0041161048393159325]","[0.2544923777382146, -1.0503271746441418, 0.21162821309584406]","[0.17409849846137712, -1.0541105220784752, 0.13148079053523945]","[0.12623197233693095, -1.1029031453652907, -0.03897847988898962]",2773,1616
1286,"[-0.008615846647751784, -0.6953022949857417, 0.08557584447303747]","[-0.12895958304792599, -0.6463165351695495, 0.09548552083452441]","[0.0020300954266058804, -0.6700267454964342, 0.22204827407192537]",,"[-0.3247025961921152, -0.8200771255520846, -0.17439695395933566]",,"[-0.29043594353071905, -0.6873392101456837, 0.002311931230072531]",2997,4095
1287,"[0.1817573265469148, -0.6635676623836877, -0.29413819039292866]","[0.049360841725310876, -0.6787308972797358, -0.2848349316487171]","[0.15097316134537672, -0.6938419689545905, -0.4082530177728795]",,"[0.09445917820101682, -0.7105067322719093, 0.19790656804896145]","[-0.005730654531018242, -0.6762569980844665, 0.11698794292354565]",,4592,5541
1288,,,,"[0.11608814422946521, -0.6590177162839087, 0.15389339671552807]","[-0.026184073189526078, -0.6538865979072874, -0.07131878056038458]","[-0.08553977545991377, -0.6280074002375176, -0.01326054299086869]","[-0.07379665635054411, -0.6527309317367038, 0.22876582906550183]",4124,8805
1289,,,"[-0.8389345479079682, -1.376330123602307, 0.716972588061587]",,,,,2997,4153
1290,,"[-0.05117801930776196, -0.6544326323120734, -0.4157072689346361]","[-0.10301481426296494, 0.6090215399737121, 0.23617669159524904]",,"[0.05190380124555783, -0.6241474981971181, 0.01525253482827997]","[-0.03360630433522757, -0.5988219877497952, -0.05898677416957542]","[-0.08516956951838653, -0.592693511710515, -0.2608411543947028]",2697,11819
1291,"[0.03154430017603901, -0.5238276594582377, -0.1759100763402704]","[-0.10369837589919453, -0.5519427519330241, -0.17470258464215427]","[0.0003028266442068254, -0.5334382378139741, -0.30718446996579163]",,,"[-0.19794969844839352, -0.6733347182970669, 0.303479192942121]",,3315,15062
1292,"[0.1336246547358634, -0.6010252977311618, -0.30645304286143926]","[0.004831656892416379, -0.6181534849074047, -0.2902057718535686]","[0.134144903714254, -0.7780216713324603, -0.4907930800212066]",,"[0.07003623991627893, -0.6395123994335247, 0.15227952944267856]","[-0.017225427657998352, -0.6013210845903504, 0.06387774821719001]","[-0.05695086092851138, -0.6006461244956097, -0.15138218562587552]",3610,13473
1293,"[0.244023462516609, -0.5938800221385424, -0.24870614509712877]","[0.11282439089076636, -0.6136707994107742, -0.2666294568860976]","[0.29310699899534487, -0.753819810481578, -0.4563669374000416]","[0.1969066408240996, -0.6085479022665471, -0.055023158139181204]","[0.09535492639851603, -0.6874022592372194, 0.2528756409645628]","[-0.03175851204737018, -0.6511430607193165, 0.15612258968545292]",,3710,14258
1294,,,,"[-0.010227053505146518, -0.7491712149667402, 0.15096997265498527]","[-0.09448554305049527, -0.7126601517052653, -0.13567095695978712]","[-0.19621917800683195, -0.7202602602737844, -0.04979743081751908]",,4606,9474
1295,"[0.02709118095320392, -0.5646431299349661, -0.33403603509079444]","[-0.09168426550191788, -0.5778788555169934, -0.30310381015762194]",,,"[0.0449432603536425, -0.6532925663678447, 0.11977437393023596]","[-0.04754745703323046, -0.639568962444447, 0.043868127189750694]","[-0.11648723646006491, -0.5855462630772614, -0.1646873628947148]",3610,13399
1296,,,,"[0.0049974165079097995, -0.6553746774448695, 0.1889532038152385]","[-0.09885793977367766, -0.5873230085122696, -0.07128057610351664]","[-0.1858520028804818, -0.6042023607869006, 0.0055360657953476234]",,3315,15158
1297,"[0.25795487307919746, -0.5640041441698984, -0.21655645758454214]","[0.13713343834434444, -0.5955382481883128, -0.2329245769942977]","[0.28029654641597157, -0.6211758008584252, -0.3655673666894088]","[0.2278777450554266, -0.6186036926894145, -0.030686366246606662]","[0.13519880476628557, -0.7302553204756926, 0.30031935571453405]","[-0.00857177401162256, -0.6013102171459397, 0.16861791628208653]",,3710,14278
1298,"[0.13825804171291786, -0.7929124345754127, 0.3633431940414131]",,,"[0.09987262710370486, -0.771508798973897, 0.13203571581925225]","[-0.0909501545583784, -0.7960370492034254, -0.11669817184894231]","[-0.1678023083432897, -0.7390940341057161, -0.061949660398304754]","[-0.12230361583973733, -0.7372458687004786, 0.2083755550493311]",4480,2309
1299,"[0.23707650724252116, -0.74317805783155, -0.016612486333551186]","[0.1351828067848932, -0.7315217647723888, -0.08218497738963525]","[0.26956312787344566, -0.6828875188478689, -0.11311549585553202]",,"[-0.2660975154202764, -0.7544645149573954, 0.2924500456648373]","[-0.2536242015802013, -0.683582947863002, 0.14222326737607277]","[-0.053828790138719336, -0.7227749407693359, -0.013124921885261044]",2920,7503
1300,,"[-0.026901370837899303, -0.658665709675812, 0.10668510136017713]","[0.03575207140804236, -0.7045875488901516, 0.25778117068020373]","[0.15962698962762994, -0.6486442915607912, -0.062492830948208865]","[0.1350460063731349, -0.5578397789720841, -0.2884512654425137]","[0.04912749574975567, -0.5507513837326304, -0.24082581317426013]",,2697,11946
1301,"[0.25900458011914795, -0.5561541497831491, -0.26419011528674036]","[0.13060358388549068, -0.5597018352208482, -0.2883447403775171]","[0.446668807363564, -0.8042140851032084, -0.5121225440573184]",,"[-0.014562187363527965, -0.6589032824554153, 0.18734691309959955]","[-0.06181407265698552, -0.6101153931976551, 0.07356960281209482]",,3771,12676
1302,"[0.039609403032889394, -0.5711774046049246, -0.1254095473584537]",,"[0.033922624613589206, -0.6342315919663096, -0.08889251360912719]",,,,"[-0.18014269806314862, -0.45858866250521285, -0.18328795792123165]",2920,7646
1303,,,"[-0.5575500840675591, -0.97751962154133, -0.576134144369263]","[-0.11213622433562528, -0.2440790290590143, -0.11531531936754513]","[-0.252692311022596, -0.6535956593507268, 0.19346806966299537]","[-0.3844170548901161, -0.6513213397507337, 0.12284595041399866]",,3621,6327
1304,,,,"[0.8375186672969078, 1.6761903719193672, 0.3724656873421523]","[-0.28500448017727464, -0.51752603289963, 0.11703301999972965]",,,3621,6324
1305,,"[-0.10868169574205204, -0.587028627376276, -0.23088029409753155]","[-0.048368346153001555, -0.6005506850482643, -0.3519473378756061]","[0.011831873888326797, -0.6543871468588929, -0.062104527930468216]","[-0.049805184320208994, -0.6799544143554447, 0.21639519525228876]","[-0.14475989938621509, -0.6487931411126006, 0.1273344896134101]",,3263,13061
1306,,,,"[-0.2805958009442192, -0.524801534655376, -0.26462950090623844]","[-0.2543563706323524, -0.6661424128454605, -0.028698660700050744]",,,6771,7230
1307,"[0.44863756052392906, -0.912602084637325, 0.3886921376149032]",,"[-0.9750402924213978, 2.5355863445089737, -1.3912074410256272]",,"[0.10915203522051024, -0.3085224919610527, -0.017743582418103917]",,,2559,2636
1308,"[0.1357320379615403, -0.6724819793072623, 0.07289184335962684]","[-0.0270103911443188, -0.28699486730216256, -0.04894950159343065]","[0.08030984002095516, -0.6777810374640196, 0.19332142167588834]","[0.16154828815421984, -0.6526624086701751, -0.1328945172335857]","[0.09342913491940974, -0.6528786483937333, -0.4001426753560412]","[0.0019438069934152665, -0.5602130267591071, -0.29457676645749353]",,6020,8451
1309,"[0.19973491995118778, -0.5848837612016886, -0.2209901892482181]","[0.07059509545308906, -0.587785055958834, -0.25107847972744324]","[0.25075364842181563, -0.6095273983944844, -0.35895856029224144]",,"[-0.12314954842172458, -0.6590905180768013, 0.22438973526344907]","[-0.16411917163970874, -0.6256240705322573, 0.10679583646035247]",,3771,12625
1310,,,,"[0.06412937750042409, -0.8907062312226792, 0.41210938311968076]","[-0.16779453484702112, -0.9501048083657183, 0.1905570679409818]","[-0.24466630651386806, -0.9110678311453023, 0.2567956998736921]",,4480,2286
1311,,"[0.19084706021185438, -0.5717602374089291, 0.1917181858349243]",,,"[0.21849200325985296, -0.5880270039418583, -0.35007156808468015]","[0.09265349213049384, -0.49031788910856544, -0.2586405221461075]","[0.08242629344223909, -0.5332537999740218, 0.003113706763618105]",5002,13946
1312,,"[-0.03682029932414478, -0.6506530825375157, -0.05117502473364187]","[0.10623775725406061, -0.6629995535945271, 0.07937653831571333]","[0.039449163517616945, -0.6012365110560312, -0.2715797259391978]",,,"[-0.06602817527997862, -0.29797791772352383, -0.09663488261788494]",4606,9592
1313,"[0.3081065667470262, -0.5504703166605479, -0.0741451325173868]","[0.0966149912584823, -0.2879751933921905, -0.019110225094245443]","[0.21247311534652666, -0.5880379935613197, -0.14845063605558093]",,,,,2822,15870
1314,,"[0.06827684537538423, -0.5249486391032009, -0.2531291183359774]","[0.20102203430977664, -0.7140564609937783, -0.4440703814274887]","[0.14652560043871615, -0.5983244271810654, -0.09387294797502856]","[-0.0025715387595513944, -0.5414244535438049, 0.11479661271697283]","[-0.05463534322037293, -0.5346939591831964, 0.028224878631943555]","[-0.041216651816597595, -0.5647114434714853, -0.13791574207158627]",2748,4731
1315,,,"[0.4656883830276966, 1.8442039408791342, -0.967820538449054]",,,,,3710,14354
1316,"[0.1272190517797006, -0.6410892292856437, -0.2281771691878447]","[-0.01102537115394375, -0.631201570209243, -0.22117923658983898]","[0.05913549100343806, -0.626302196106853, -0.3629328616797108]",,"[0.13886887551659766, -0.9311499616078481, 0.4323454043930893]","[0.006980397110024911, -0.6765927409858153, 0.21447545124264852]",,5240,16226
1317,"[0.30384322170358774, -0.6522064374651063, -0.048825564183974435]","[0.19344081623856332, -0.6679475091782309, -0.057707408603983795]","[0.31167610040839516, -0.6676477431436482, -0.15259148247787394]",,"[0.11156876466208704, -0.8575493473864652, 0.40363868556183424]","[-0.014335052711717172, -0.5578226232758722, 0.18881791568947706]","[0.07779402965834904, -0.6407022889929421, 0.04538425784841524]",4124,8724
1318,,"[0.06043372722083592, -0.4812742255132358, -0.24560519891787033]","[-14.088704034490267, 30.69841039852561, 14.032064783725911]","[0.10999888047373955, -0.46230033698241, 0.019279248842720736]",,,,5981,1204
1319,,,,,"[0.04877179904063961, -0.4468288724774107, -0.18057413565979383]",,,3610,13486
1320,"[0.1325231564622374, -0.5588698107869429, 0.1036814300525046]","[-0.0035310615098694716, -0.571353491523732, 0.13743300455963323]","[0.2357852041604827, -0.7617915015602105, 0.3357091298415497]",,"[-0.17335558376554588, -0.556630375170818, -0.3164942835576079]","[-0.23956002061410214, -0.5349745647817483, -0.22265412599121687]","[-0.15420167658674605, -0.5704200713211286, -0.0063237027591369396]",3771,12717
1321,"[-0.04708271834310258, -0.6372063062909408, 0.1537195606458262]",,"[-0.1929045659857752, -0.8604041304916263, 0.3967109804927256]",,"[-0.06796423165021824, -0.5515381878569441, -0.3068774631607377]","[-0.14230959451099717, -0.5283721103095221, -0.2378473032933662]",,3610,13575
1322,"[0.12246401625837121, -0.6490485429349845, -0.36317070132505386]","[-0.03360385714111215, -0.6859383986707804, -0.3292216460119727]",,"[0.22020411454025476, -0.6399523999737456, -0.13023787210137452]","[0.1571549425269554, -0.6607511364700469, 0.18288388654754645]","[0.0558881023143204, -0.6888546205822624, 0.09672375973521842]","[-0.04352071632010258, -0.684017955743825, -0.13814669946627436]",5981,1105
